point,area,type,months,total1,total2,monthly1,monthly2,total3
臺中市清水區槺榔國民小學附設幼兒園,清水區,公立,9.2,38684,0,4205,0,38684
臺中市清水區清水國民小學附設幼兒園,清水區,公立,9.2,38684,0,4205,0,38684
臺中市清水區甲南國民小學附設幼兒園,清水區,公立,9.2,38684,0,4205,0,38684
臺中市清水區西寧國民小學附設幼兒園,清水區,公立,9.2,38684,0,4205,0,38684
臺中市清水區高美國民小學附設幼兒園,清水區,公立,9.2,38684,0,4205,0,38684
臺中市潭子區僑忠國民小學附設幼兒園,潭子區,公立,9.2,38684,0,4205,0,38684
臺中市潭子區新興國民小學附設幼兒園,潭子區,公立,9.2,38684,200,4205,22,38684
臺中市潭子區東寶國民小學附設幼兒園,潭子區,公立,9.2,38684,0,4205,0,38684
臺中市潭子區潭子國民小學附設幼兒園,潭子區,公立,9.2,38684,0,4205,0,38684
臺中市烏日區九德國民小學附設幼兒園,烏日區,公立,9.2,38684,0,4205,0,38684
臺中市烏日區五光國民小學附設幼兒園,烏日區,公立,9.2,38684,100,4205,11,38684
臺中市烏日區僑仁國民小學附設幼兒園,烏日區,公立,9.2,38684,0,4205,0,38684
臺中市烏日區喀哩國民小學附設幼兒園,烏日區,公立,9.2,38684,200,4205,22,38684
臺中市烏日區旭光國民小學附設幼兒園,烏日區,公立,9.2,38684,200,4205,22,38684
臺中市烏日區東園國民小學附設幼兒園,烏日區,公立,9.2,38684,0,4205,0,38684
臺中市烏日區烏日國民小學附設幼兒園,烏日區,公立,9.2,38684,200,4205,22,38684
臺中市石岡區土牛國民小學附設幼兒園,石岡區,公立,9.2,38684,0,4205,0,38684
臺中市石岡區石岡國民小學附設幼兒園,石岡區,公立,9.2,38684,0,4205,0,38684
臺中市神岡區圳堵國民小學附設幼兒園,神岡區,公立,9.2,38684,200,4205,22,38684
臺中市神岡區岸裡國民小學附設幼兒園,神岡區,公立,9.2,38684,0,4205,0,38684
臺中市神岡區社口國民小學附設幼兒園,神岡區,公立,9.2,38684,0,4205,0,38684
臺中市神岡區神岡國民小學附設幼兒園,神岡區,公立,9.2,38684,0,4205,0,38684
臺中市神岡區豐洲國民小學附設幼兒園,神岡區,公立,9.2,38684,200,4205,22,38684
臺中市私立一安堂幼兒園,神岡區,準公共化,12,126600,18000,10550,1500,126600
臺中市私立一德幼兒園,后里區,準公共化,12,127272,9000,10606,750,127272
臺中市私立一心園幼兒園,東勢區,私立,12,109400,24000,9117,2000,109400
臺中市私立一心幼兒園,神岡區,私立,12,106300,24000,8858,2000,106300
臺中市私立一畝田幼兒園,北屯區,私立,12,142200,30000,11850,2500,142200
臺中市私立三光幼兒園,豐原區,私立,12,149268,18000,12439,1500,149268
臺中市私立三愛幼兒園,豐原區,私立,12,107000,9000,8917,750,107000
臺中市私立三育幼兒園,烏日區,準公共化,12,100860,10800,8405,900,100860
臺中市私立丘尼兒幼兒園,北區,私立,12,126400,12000,10533,1000,126400
臺中市私立丰原格林幼兒園,豐原區,私立,11,149130,24200,13557,2200,149130
臺中市私立丹尼兒幼兒園,大里區,私立,12,147200,18000,12267,1500,147200
臺中市私立乖乖幼兒園,大里區,私立,12,138340,24000,11528,2000,138340
臺中市私立亞士可幼兒園,烏日區,準公共化,12,110740,9000,9228,750,110740
臺中市私立亞恩蒂幼兒園,豐原區,私立,12,68000,0,5667,0,68000
臺中市私立亞特藍幼兒園,豐原區,準公共化,12,116244,13500,9687,1125,116244
臺中市私立亮亮幼兒園,西屯區,私立,12,125400,24000,10450,2000,125400
臺中市私立人德幼兒園,大甲區,準公共化,12,111204,12000,9267,1000,111204
臺中市私立仁美愛子幼兒園,北屯區,私立,12,240000,18000,20000,1500,240000
臺中市私立今日幼兒園,西屯區,私立,12,117272,9000,9773,750,117272
臺中市私立作新幼兒園,北區,私立,12,110910,9000,9243,750,110910
臺中市私立佳園幼兒園,大里區,私立,12,91860,18000,7655,1500,91860
臺中市私立佳音幼兒園,神岡區,私立,12,93600,24000,7800,2000,93600
臺中市私立佶米幼兒園,北區,私立,12,146400,21600,12200,1800,146400
臺中市私立來來幼兒園,后里區,私立,12,112200,18000,9350,1500,112200
臺中市私立保貝兒幼兒園,神岡區,私立,12,124000,8820,10333,735,124000
臺中市私立保進幼兒園,東區,私立,12,107376,18000,8948,1500,107376
臺中市私立保進精英幼兒園,北屯區,準公共化,12,216000,9000,18000,750,216000
臺中市私立傑揚幼兒園,南屯區,準公共化,12,114444,18000,9537,1500,114444
臺中市私立優勢光譜幼兒園,大雅區,準公共化,12,116052,9000,9671,750,116052
臺中市私立優斯特幼兒園,西屯區,私立,12,108756,18000,9063,1500,108756
臺中市私立優生幼兒園,大甲區,準公共化,12,109116,9000,9093,750,109116
臺中市私立光仁幼兒園,大里區,私立,12,107780,18000,8982,1500,107780
臺中市私立光大幼兒園,大雅區,準公共化,12,109040,9000,9087,750,109040
臺中市私立克麗斯玎幼兒園,大雅區,私立,12,120000,24000,10000,2000,120000
臺中市私立兒幼幼兒園,大里區,私立,12,156000,36000,13000,3000,156000
臺中市私立兒童世界幼兒園,太平區,私立,12,111990,26400,9333,2200,111990
臺中市私立兒童花園幼兒園,豐原區,準公共化,12,147600,13500,12300,1125,147600
臺中市私立全佑幼兒園,太平區,私立,12,88800,9000,7400,750,88800
臺中市私立全方位幼兒園,南屯區,私立,12,144000,18000,12000,1500,144000
臺中市私立冠鈞藝術幼兒園,豐原區,私立,12,204000,9000,17000,750,204000
臺中市私立初心幼兒園,南屯區,私立,12,336400,18000,28033,1500,336400
臺中市私立劍橋幼兒園,南屯區,準公共化,12,132000,18000,11000,1500,132000
臺中市私立加州幼兒園,沙鹿區,私立,12,210000,13500,17500,1125,210000
臺中市私立加梭利幼兒園,南區,私立,12,62520,0,5210,0,62520
臺中市私立北屯吉貝兒幼兒園,北屯區,準公共化,12,122052,26400,10171,2200,122052
臺中市私立北屯快樂城堡幼兒園,北屯區,私立,12,111588,0,9299,0,111588
臺中市私立北屯格瑞特幼兒園,北屯區,私立,12,120840,18000,10070,1500,120840
臺中市私立北屯獅子王幼兒園,北屯區,私立,12,125350,9000,10446,750,125350
臺中市私立北屯語林幼兒園,北屯區,私立,12,308400,18000,25700,1500,308400
臺中市私立南區哈佛幼兒園,南區,私立,12,111780,0,9315,0,111780
臺中市私立南區曼哈頓幼兒園,南區,私立,12,122336,9000,10195,750,122336
臺中市私立南屯光隆幼兒園,南屯區,私立,12,68800,18000,5733,1500,68800
臺中市私立南屯大千幼兒園,南屯區,私立,12,143600,13500,11967,1125,143600
臺中市私立南屯大千幼兒園永春分班,南屯區,私立,12,152000,13500,12667,1125,152000
臺中市私立南屯經典人文藝術幼兒園,南屯區,私立,12,181360,27600,15113,2300,181360
臺中市私立南海幼兒園,大里區,私立,12,124260,9000,10355,750,124260
臺中市私立博思特幼兒園,南區,準公共化,12,127160,13500,10597,1125,127160
臺中市私立卡帕幼兒園,西區,私立,12,153600,12000,12800,1000,153600
臺中市私立卡帕立人幼兒園,北區,私立,12,142800,9000,11900,750,142800
臺中市私立双葉幼兒園,大里區,準公共化,12,100904,13500,8409,1125,100904
臺中市私立台大幼兒園,西屯區,準公共化,12,120000,18000,10000,1500,120000
臺中市私立史丹彿幼兒園,北屯區,私立,12,114200,18000,9517,1500,114200
臺中市私立吉兒寶幼兒園,北屯區,私立,12,130920,13500,10910,1125,130920
臺中市私立吉尼兒幼兒園,南屯區,私立,12,141100,24000,11758,2000,141100
臺中市私立吉瑞福幼兒園,太平區,私立,12,130200,18000,10850,1500,130200
臺中市私立吉的堡達仁幼兒園,南屯區,私立,12,151200,0,12600,0,151200
臺中市私立吉立堡幼兒園,北區,私立,12,94660,18000,7888,1500,94660
臺中市私立吉維妮幼兒園,北區,私立,12,156160,18000,13013,1500,156160
臺中市私立吉麗幼兒園,東勢區,準公共化,12,95212,0,7934,0,95212
臺中市私立同德幼兒園,北區,私立,12,79200,0,6600,0,79200
臺中市私立后里三采幼兒園,后里區,準公共化,12,105684,9000,8807,750,105684
臺中市私立向陽幼兒園,南屯區,私立,12,92000,0,7667,0,92000
臺中市私立和新儷園幼兒園,烏日區,準公共化,12,119664,14400,9972,1200,119664
臺中市私立哈佛幼兒園,太平區,私立,12,112884,13500,9407,1125,112884
