point,area,type,months,total1,total2,monthly1,monthly2,total3
臺南市私立永康文心幼兒園,永康區,準公共化,12,134400,9000,11200,750,134400
臺南市私立永康芝蔴街幼兒園,永康區,私立,12,152900,48000,12742,4000,152900
臺南市私立永強繪本藝術幼兒園,永康區,私立,12,162600,0,13550,0,162600
臺南市私立沛愛幼兒園,北區,私立,12,126000,0,10500,0,126000
臺南市私立泑潛幼兒園,佳里區,準公共化,12,99852,9000,8321,750,99852
臺南市私立法源幼兒園,學甲區,準公共化,12,97568,9000,8131,750,97568
臺南市私立洧昇幼兒園,仁德區,私立,12,112800,22800,9400,1900,112800
臺南市私立活水幼兒園,安定區,私立,12,178200,26400,14850,2200,178200
臺南市私立活水樹谷幼兒園,新市區,私立,12,178200,27600,14850,2300,178200
臺南市私立派樂特幼兒園,永康區,準公共化,12,126460,39600,10538,3300,126460
臺南市私立灣裡街幼兒園,善化區,準公共化,12,127092,9000,10591,750,127092
臺南市私立熊寶寶幼兒園,仁德區,準公共化,12,102000,39600,8500,3300,102000
臺南市私立牧群幼兒園,東區,私立,12,151400,38400,12617,3200,151400
臺南市私立玉沙幼兒園,玉井區,準公共化,12,97920,9000,8160,750,97920
臺南市私立瑩青幼兒園,東區,私立,12,60200,0,5017,0,60200
臺南市私立甜甜幼兒園,南區,私立,12,94800,0,7900,0,94800
臺南市私立白天鵝幼兒園,永康區,私立,12,153600,54000,12800,4500,153600
臺南市私立皇佳幼兒園,北區,私立,12,166000,105600,13833,8800,166000
臺南市私立皮卡丘幼兒園,麻豆區,準公共化,12,117060,0,9755,0,117060
臺南市私立真善美幼兒園,關廟區,私立,12,111000,60000,9250,5000,111000
臺南市私立知多幼兒園,中西區,私立,12,152300,48000,12692,4000,152300
臺南市私立知恩幼兒園,善化區,準公共化,12,154000,9000,12833,750,154000
臺南市私立福瑞斯特國際藝術幼兒園,安平區,私立,12,188000,39600,15667,3300,188000
臺南市私立福祐幼兒園,麻豆區,私立,12,107400,39600,8950,3300,107400
臺南市私立福祺幼兒園,西港區,準公共化,12,99180,9000,8265,750,99180
臺南市私立秀光幼兒園,安平區,私立,12,135000,63360,11250,5280,135000
臺南市私立立上幼兒園,新營區,私立,12,123000,22800,10250,1900,123000
臺南市私立立人幼兒園,佳里區,準公共化,12,122880,9000,10240,750,122880
臺南市私立立家幼兒園,安平區,準公共化,12,150000,52800,12500,4400,150000
臺南市私立童園幼兒園,永康區,準公共化,12,133152,30000,11096,2500,133152
臺南市私立童話世界幼兒園,東區,準公共化,12,103444,35112,8620,2926,103444
臺南市私立第一堡幼兒園,永康區,準公共化,12,123388,39600,10282,3300,123388
臺南市私立筑園幼兒園,安定區,私立,12,98000,0,8167,0,98000
臺南市私立米爾頓幼兒園,南區,準公共化,12,127560,9000,10630,750,127560
臺南市私立米琪幼兒園,安定區,私立,12,93000,36960,7750,3080,93000
臺南市私立紅蘋果幼兒園,南區,準公共化,12,101600,9000,8467,750,101600
